source,text,review_rating,name,review_date,length_of_stay,traveler_type,total_rating,total_reviews
booking,"Room - we booked the biggest room with balcony and it was like a one bedroom apartment with cooking facilities. Furniture on balcony damaged. Handles missing from at least three drawers in kitchen & bathroom. You had to pay for coffee pods after the first 2 free and no free bottled water supplied (so we didn’t use anything from the fridge or the 2 free coffee pods). TV has about 250 channels, but only a small number was supplied, the maintenance man said they only supply a basic package. Location was great - near the beach, restaurants & shopping. Bed king size & comfortable but no choice of pillows, all the same. Set menu Breakfast was delicious however drinks was either juice or tea of coffee, not both. On our 3 night stay the hotel took a $600US hold on our credit card - luckily we had sufficient funds to comply. MAJOR NEGATIVE is that after arriving home in Australia we checked our credit card and it took 3 days for the Hotel to release our $600 and they charged our card $8 without any notice, description or invoice. We used nothing from the mini-bar, coffee or bottled water, so I have disputed this charge with our credit card company and waiting for a response from the hotel.",6.0,Michael,2024-10-28,4.0,Couple,7.1,481 reviews
booking,"The location of the property is good and the apartment is modern. Good kitchen facilities and CVS 24/7 hours just around the corner to avoid the expensive room service.
The cable TV offer is good. The hotel was unreachable for days (approx. 48 hours before arrival) both in writing and by telephone for me and the booking team. An inquiry as to whether the hotel was open at all was also not answered. When asked on site, they said it had been busy and they were sorry. The external parking facilities were poor, as the parking garage is multi-storey and has no elevator.
The shower was unfortunately a bit dirty but rinsing with water helped. The rest was overall very clean. 
Two beds were requested (1 king size + 1 sofa bed. Unfortunately there was only 1 blanket for both beds in the apartment. The reception even confirmed that two beds would be provided.
The WiFi was very poor and didn't work at all, luckily the cell phone network was good enough.",6.0,Maximilian,2024-10-15,2.0,Group,7.1,481 reviews
booking,"our room was not available upon arrival which we realized once we entered the room. we were told the manager booked the room. they did send a cot. our room was very spacious with a kitchen. pool needed cleaning. overall, some minor tweaks would improve the hotel. almost there. communication with the front desk about the room change, pool cleaning and fixtures in room repaired would have made the hotel stay better.",6.0,Christina,2023-08-11,3.0,Family,7.1,481 reviews
booking,"Walking into the lobby smelled amazing every time you come in or get off the elevator. Staff was friendly and accommodating. The room was clean, beautiful and bigger than pictures allowed me to assume. Great location. The doors to the balcony were extremely hard to open and close, the one sliding door to the bedroom was half off the track didn't close.",8.0,Polston,2023-07-31,4.0,Solo,7.1,481 reviews
booking,"Location
Staff
Room Light and bathroom fittings need updating",8.0,R,2023-07-31,10.0,Family,7.1,481 reviews
booking,Modern and spacious Lack of utensils and cleaning products,7.0,Rebecca,2023-07-21,2.0,Family,7.1,481 reviews
booking,"Orange blossom was a good experience. CVS, joe in the juice, the beach and the liquor store right around the corner. A few homeless people in the area",8.0,Cantos,2023-07-17,4.0,Couple,7.1,481 reviews
booking,"Location Is Great
Room is comfortable
The Pool Area is really nice
Cleaning is very good
Room equipment is also good
Good bathroom amenities 
The front Desk called Martina (She is really good and takes care of people) The reception staff called CARISMA / KARISMA, is one of the worst professionals I ever had to deal with in all my travels.
She is rude, and she makes sure you understand she is hating to be there. She definitely CAN NOT  deal with people, and ruined the arrival experience.",7.0,Francisco,2023-07-13,4.0,Couple,7.1,481 reviews
booking,"I loved the layout and space of the suite, the location of the pool, and the decor of the entire hotel. The staff members were amazing! Everyone was very friendly and helpful. 10/10 for the staff! The pictures make it seem like it is right on the beach. It is about 2 blocks from the beach access. Also-parking is not monitored by the hotel; guess park in a garage a block over. The website information made it appear that parking is offered by the hotel.",8.0,Elizabeth,2023-06-13,4.0,Couple,7.1,481 reviews
booking,Location is very good and accommodation really spacious. Really appreciate daily cleaning service. The staff was incompetent and sometimes rude. A bit dirty at first,8.0,Eduard-gabor,2023-06-13,10.0,Couple,7.1,481 reviews
booking,"the unit itself was huge, clean and close to the beach there was only one or two of the cutlery and crockery. The balcony was a bit soulless.",8.0,Emma,2023-06-12,5.0,Family,7.1,481 reviews
booking,"location was good. I prefer this end of south beach. a little more quiet and the area is great. the room was dirty. marks on the bed sheets, the sofa was covered in all sorts. I dread to think what it was. the shower was also very dirty. this was prob one of the dirtiest rooms I have ever stayed in. it was clearly just cleaned very quickly. at a first glance looked clean but then you notice all the marks.",6.0,Stuart,2023-05-31,1.0,Couple,7.1,481 reviews
booking,"Our fridge was broken so we lost a lot of food/leftovers which was a bummer. The TV didn’t work. Some art on the walls or plants on the terrace would go along way to make the room feel more cozy, comfortable etc. Felt like a stretch to call this a 4 star hotel.",7.0,Jennifer,2023-05-26,4.0,Group,7.1,481 reviews
booking,We arrived early and staff was accommodating enough to store our bags for us and allowed us to use the facilities while we waited for our room to get ready. Major plus when we got the complimentary room upgrade ☺️. The location was great. I loved that the beach was only a few steps away from the hotel. Iike the rooftop bar + pool area and food at the restaurant attached also. The rooms were not as clean as I’d like them to be.,8.0,Arrielle,2023-05-21,3.0,Couple,7.1,481 reviews
booking,"Very nice room & lovely bathroom. Very comfortable & everything we needed. Excellent proximity to the beach & nice to have sun beds provided & towels. Nice pool on the roof top. Very enjoyable couple of days. Breakfast was included but a bit restrictive. Road outside was quite noisy, so couldn`t sit on balcony. But we had good double glazed windows which kept noise out at night.",8.0,Helen,2022-11-02,2.0,Couple,7.1,481 reviews
booking,Great Location and spacious accommodation layout... Price$$$,8.0,Jeremy,2022-10-22,3.0,Solo,7.1,481 reviews
booking,"modern, clean, spacious not enough mirrors, staff not great, waiting time,",7.0,Annuja,2022-09-24,5.0,Group,7.1,481 reviews
booking,"the location to the beach and restaurants were good. A plug in the wall didn’t work, a door to the bedroom was broken, the A/C wouldn’t get lower than 68 degrees, the bed wasn’t comfortable, the water in the shower smelled like boiled eggs, and it was very hot in the hallways of the hotel.",6.0,Courtney,2022-08-05,5.0,Couple,7.1,481 reviews
booking,"Room was clean. 
Lobby and front desk very helpful .Hotel sign can be more visible
Had trouble finding the entrance.
Parking a big issue .
The hotel can more helpful in explaining the parking situation so guests won't get ticketed.",8.0,Jean-claude,2022-07-12,1.0,Family,7.1,481 reviews
booking,Loved this place especially for the price. The room it self it beautiful with the terrace that gave a private balcony it was so amazing. The check out however could be a little better because if you are not out by 10:59 they call and knock and threaten to charge late check out fees even though late check out was not offered,9.0,Sharae,2025-05-19,1.0,Group,7.1,481 reviews
booking,"SAND ON the bed and on the floors….a lot of it !
Air conditioning did not work at all!
No one was sent to fix the air and there were no other rooms available",1.0,David,2025-04-12,1.0,Solo,7.1,481 reviews
booking,"Our room was nothing like the images on booking.com, additionally the room & bathroom looked very neglected with stains on the floors & furniture.",1.0,Joy,2025-04-05,2.0,Couple,7.1,481 reviews
booking,"Location was perfect, very clean",10.0,Vitomir,2025-03-25,5.0,Family,7.1,481 reviews
booking,"The location We have complained about this hotel as they put me and my friends in a different room we had paid for. However the room we was in was dirty and nothing like the images online, they put us in another room which we still wasn’t happy with as it looked nothing like any of the images online. We spoke to the staff and they was so rude to all of us.",1.0,Jasmin,2025-03-18,7.0,Group,7.1,481 reviews
booking,"Room was large and two king sized beds was nice and comfortable. The AC made an incredible noise so luckily it was not too hot as we could not really use it. Also there seemed to have been some kind of water leakage as water damage was evident all over the room (the bathroom door couldn't even close) Loud noisy AC, not properly renovated. Any hotel that charges $4 for the (what we thought were complimentary) coffee capsules and then charges additional tips on top of that is extremely petty and cheap. Leaves a pretty bad taste",3.0,Johannes,2025-02-27,3.0,Family,7.1,481 reviews
booking,Old and the elevator didn’t work alarm went off for midnight Old look rundown had to go to the restaurant to get ice along one oh for midnight cannot rest,1.0,Steven,2024-12-29,3.0,Couple,7.1,481 reviews
booking,"great location We stay at king size suite and they were 4 of us. In the kitchenette, they were dishes only for two even after asking for extra glasses, they didn’t have any to bring.. Also, the coffee capsule were a slight problem. ￼ they were only four capsules of regular coffee and they never refill those. You had to request extras and even after a request it took until another day before they brought them to the room.",6.0,Lenka,2023-10-12,3.0,Group,7.1,481 reviews
booking,The location and the hotel amenities We weren’t able to get early check in and our flight landed at 8am,7.0,Donyae,2023-10-02,3.0,Group,7.1,481 reviews
booking,"The staff at arrival was not open to find a solution was not listening.
The other lady french girl at front desk saved the stay cause really client oriented and offered a great customer service.",7.0,Emmanuelle,2023-09-08,5.0,Family,7.1,481 reviews
booking,Location and cleanliness of One Beadroom Suite is perfect Carpet in each hall on each floor should be change for new,7.0,Adam,2023-09-05,4.0,Family,7.1,481 reviews
booking,"It was clean and beach accessible. Very bad staff behaviour 
No, any customer service 
Very poor breakfast services, very restricted items
No buffet system for breakfast, which was not informed by properly during booking.
No in room services like no water bottles, no kettle,
With such behaviour and very bad experience, it’s totally not recommended to use this property at all in future.",1.0,Juthani,2024-09-26,8.0,Couple,7.1,481 reviews
booking,"Location The staff was pretty rude, needed towels in the morning when I was in the shower, went down to the front desk to ask for some and the lady refused to help. Was in the shower about an hour before the manager finally overheard what was going on and helped. Had to wait forever for ice. And they wrongly charged me for champagne we did not use.",4.0,Charlie,2024-09-26,1.0,Couple,7.1,481 reviews
booking,"Great location, rooms cleaned daily.  Staff very friendly, helpful and attentive to our needs.  Good choice of breakfast menu included in overall price.  Beachfront and poolside facilities both excellent. N/A",10.0,Elizabeth,2024-09-25,9.0,Couple,7.1,481 reviews
booking,"The room was very clean, and housekeeping did a fabulous job. Great location. No communication from reception about facilities just pointed to a4 piece of paper. Or any communication would have been good. Not being told where towels were for the swimming pool. There is no info on the restaurant that we might have used if someone had spoken to us about and not just pointed to a a4 piece of paper. Room old & tired, sofa bed sagging, table cracked, dining chair about to break if a child sat on it. Cupboard door in kitvhen broken. Bed started to go as I met my husband in the middle. Paying for everything, including coffee in the room. 
Paying $40.00 for less than 24 hours parking behind the hotel, when a short walk across the park, it was $20 for 24 hours.",4.0,Walters,2024-09-18,3.0,Couple,7.1,481 reviews
booking,"Service at breakfast was so si bad 
The guy don’t want to work is very bag personding go at the breakfast the derive is so bad 
At the reception  service is so bad",5.0,Jonathan,2024-09-15,10.0,Family,7.1,481 reviews
booking,So many Amenities✅,9.0,Courtney,2024-08-31,1.0,Family,7.1,481 reviews
booking,"Lovely roof pool, not too busy so always had a bed space when we went out each morning. Nice touch having suncream available for guests. Perfect views. 

Our room was amazing. Huge bathroom, great kitchen, washer and dryer, two toilets. Cleaning services did a beautiful job every day. Lovely restaurant staff, very accommodating.  Child friendly. My only downside was the terrace was a little tired. Everything was fantastic.",10.0,Nicola,2024-08-31,5.0,Family,7.1,481 reviews
booking,"The location to stay in south is a good one. It is not crowded . The people working at the hotel were so rude. The maids, the people from the front desk.  The breakfast was bad and the people working there were so rude too 
The hotel charged me $77 from the coffee bar. We didn't consume anything and they charged a vodka, a coffee, some  detergent. That was 6 hrs after I did the check out.
I left the city , so since I received the message from my credit card about the charge, I started calling the hotel and nobody answered. Fortunately I had a friend near there and she went in person to dispute the charge,  at the same time I sent them an e mail and they decided to answer.
They refound most of the charges but not all, we don't know why!!
It was the  worst experience at a hotel in my life!  and most of the time I went to 3 star hotels.",1.0,Maria,2024-08-04,5.0,Family,7.1,481 reviews
booking,Nice pool bar and our corner room was great Checkin at 4 and checkout at 11. Divide that by your rate and see how much you pay per hour. Sighs.,5.0,Andre,2024-07-29,1.0,Family,7.1,481 reviews
booking,"Room was a nice size, bed comfortable. At check in the front desk agent said we may have more fees to pay but we would know at check out.  Not a nice welcome.
Our reservation said all taxes and fees had been paid.
With the popularity of Air BNB and renting condos this hotel had too many restrictions.  For example, We give you two coffee pods, if you need more it is extra.  Breakfast offered coffee, tea or juice.  It felt very cheap.",5.0,Matt,2024-07-22,4.0,Couple,7.1,481 reviews
booking,"The location was perfect. The room was a nice size, and the living room furniture was worn down ripped and smelled bad. The curtains were dirty, and there was water damage along the walls. The Ac would not stay at the set temperature, which made it hot in the room.  The front desk did not pick up the phone when called. Overall, it was just ok for the price.",5.0,Brittany,2024-07-21,3.0,Couple,7.1,481 reviews
booking,Property was nice  and was very close to the beach The charge 150 per night which when I booked that was not specified .,4.0,Charoletta,2024-07-17,3.0,Couple,7.1,481 reviews
booking,We like the room size. Patio doors were difficult going out onto balcony. Seems track's need lubricating.,8.0,Anthony,2023-04-24,1.0,Couple,7.1,481 reviews
booking,"close proximity to the horse show and beach wasn’t very clean, linens (bathroom rugs and towels) poor quality and sparse",6.0,Kimberly,2023-04-19,5.0,Couple,7.1,481 reviews
booking,"the location, the restaurant, the interior no complaints",8.0,Diana,2023-03-13,4.0,Family,7.1,481 reviews
booking,"I love the fact that its clean, but i believe the charge to much for the hotel in general. Yes the location is next to the beach. but how was i suppose to sleep when screaming and yelling people on the streets. but what did i expect? That i paid $600 for one night for loud people, the ammentities did not include breakfast, why???? if im paying for the ammentites? never again will i go to this hotel. they charge for every little thing.",6.0,Jeanise,2023-03-12,1.0,Couple,7.1,481 reviews
booking,"This is our third or fourth year - last year the management and staff was so rude and we had a terrible time . This year there were 3 stand out employees that reset this feeling. We are so thankful for the space, location , and love the breakfast so it is so nice to feel welcome and appreciated again for being there. Still a couple minor maintenance items but way cleaner and revived from last year.",9.0,Surf,2024-06-06,3.0,Group,7.1,481 reviews
booking,The room was amazing and close to the beach. No ice machine,10.0,Calvin,2024-06-01,1.0,Group,7.1,481 reviews
booking,Nothing. The rooms are old and broken. None of the white goods work and even after being offered a refund we are not getting any response from staff. Same as above. Nothing works.,1.0,Manoj,2024-06-01,5.0,Family,7.1,481 reviews
booking,"We had a beautiful Penthouse sweet. Pool area was great, but if you want any shade bring your own umbrella or get there early to reserve a cabana. Drinks are also pricey at the pool bar. We were told $65 for our ride from the hotel to MIA airport. The car service is a third party they coordinate with, but we were charged $112 once arriving. We would have ubered had we known.",10.0,Wences,2024-05-30,2.0,Group,7.1,481 reviews
booking,"Location I was in PH 14, the noise is annoying in the morning since the employees use an access door for their work but they talk very loudly and hit the door hard around 30 times, we counted that the door was thrown, additionally a restaurant employee told us He shouted and treated us badly, we went to the reception to complain about the unpleasant moment, I would not return to that hotel and I would not recommend it",1.0,Vanessa,2024-05-29,3.0,Group,7.1,481 reviews
booking,"Nothing except for the location. They have no parking, and I wasn’t aware until I arrived at the property. Everything that I had requested for was not there and they don’t even provide robes and slippers.overall stay was a disappointment. I had to pay $40 every night for the parking alone such an inconvenience. I wouldn’t recommend it to anyone.",1.0,Busisiwe,2024-04-16,2.0,Couple,7.1,481 reviews
booking,"Good location to the convention centre.  Nice pool bar, but could do with some live music. Breakfast at orange blossom was lovely Nothing really",9.0,Craig,2024-04-15,6.0,Couple,7.1,481 reviews
booking,"There were roaches all over the room when we checked into our hotel room. We asked to get switched to another room and the front desk lady was very rude to us. We took pictures and videos of the bugs everywhere and the lady did not care. This was a nasty hotel, which I’m surprised because online it looked very nice and clean. We ended up leaving the hotel and finding somewhere else to stay at 4am (because the lady wouldn’t help us). We got a non refundable room but booking allowed us to get a full refund  after sending them videos and pictures of our room. This hotel was also ignoring the Booking managers when they tried to investigate the situation.",1.0,Amaya,2024-04-10,5.0,Group,7.1,481 reviews
booking,The beds were not comfortable at all,4.0,Mojtaba,2024-03-07,3.0,Group,7.1,481 reviews
booking,"The location is great and the rooms are huge! The place is falling apart, we had cracks and rust all down the bottom of our door! Holes in the wall, the electric sockets were hanging off the wall it was a huge safety risk! We also had an air condition that wouldn’t stop buzzing very loud through the night and when we called reception as it was 11pm and we were trying to sleep they recommended we just “turn it off.” The staff where not welcoming and didn’t even smile at us, we where celebrating our engagement and was really disappointed!",2.0,Morgan,2024-03-06,1.0,Couple,7.1,481 reviews
booking,"Decoration, cleaning Bar close early",10.0,Karime,2024-03-01,1.0,Solo,7.1,481 reviews
booking,"The room is clean. The ""included breakfast"" is bad.",5.0,Marc,2024-02-25,4.0,Couple,7.1,481 reviews
booking,"Nothing much just the location The furnitures were old  but I really loved the hotel.
I stayed on the second floor and the floor were dirty, or they looked dirty and the tiles were moldy and rusty",4.0,Janeth,2024-12-27,4.0,Family,7.1,481 reviews
booking,"Good rooms, big and spacious. Good location. Extremely dirty, rude staff at the reception. Had many problems.",4.0,Fernando,2024-12-14,2.0,Couple,7.1,481 reviews
booking,"Nice room, clean and in a very good location. Great plus is the availability of the beach. Very good swimming pool on the roof top. I had to remind to clean the room otherwise they did not and I found quite incredible the fit 3 nights the provide only2 coffe complimentary all the other coffe you get are 2 $ each….for 3 nights. At the price we paid I found it quite funny…",9.0,Stefano,2024-12-07,3.0,Couple,7.1,481 reviews
booking,Greàt hotel in a good position. Been visiting for years. They treat us as old friends.  Nothing is too much trouble. The wind.,10.0,Colin,2024-11-28,5.0,Family,7.1,481 reviews
booking,"Close to the beach Room , paint was chipped on the walls , curtains were hanging off the rod, shower water was leaking on the floor and light bulbs were out.",4.0,David,2024-01-25,2.0,Group,7.1,481 reviews
booking,"Great location, close to the beach, good pool area, we got an upgrade to a one bedroom suite which was amazing! Staff were lovely and very helpful. Nothing!",9.0,Ashleigh,2024-01-15,4.0,Couple,7.1,481 reviews
booking,Gym equipment- Ice machine- not hanging closet,9.0,Carlos,2024-01-08,6.0,Couple,7.1,481 reviews
booking,"Location Lights always pulsing (told reception nothing done), nowhere to hang towels in bathroom. We took the bfast (part of room/rate) it’s a special menu.",5.0,Yoddle,2024-01-08,6.0,Family,7.1,481 reviews
booking,"I liked the location. also very comfortable beds, from which you did not want to get up. large bathroom and shower. delicious food in the restaurant downstairs. the pool was warm and clean even though we were in December. pleasant staff who checked us in a little faster than the stated time. thank them very much for that. I didn't like two things. cleaning. the floor was sticky. there was garbage on the floor, as if it had not been vacuumed. the balcony window was also not clean. unwashed coffee mugs. also there was only one spoon and no coffee set. there was a lot of dust on the chandeliers in the bathroom. the next day after cleaning, the minibar was filled, so there was no water and other drinks. the second thing i didn't like is that there are no parking spaces. this was a problem for us, because we rented a car and had to drive around the hotel and look for a free place.",9.0,Anna,2024-01-03,3.0,Couple,7.1,481 reviews
booking,Wasn’t given the room I booked and they offered no reimbursement for a lower grade room.,1.0,Simon,2023-12-29,1.0,Couple,7.1,481 reviews
booking,"Not possible to lock the terrace door, they said they would fix it but nothing happened during the stay. The appartment was a bit worn out",4.0,Anne,2023-12-25,3.0,Family,7.1,481 reviews
booking,"Firstly when we arrived they did not give us the room I had booked and paid for. They said they would move me the next day but when I went to move they said none of the rooms were available. The customer service was very poor and to top it off, my sunglasses and a few other belongings were stolen from my room by house keeping. When I reported this to the manager nothing was done nor offered as compensation. Overall I had a very bad experience at the Boulan and will never stay there again.",1.0,Daniella,2023-12-15,6.0,Group,7.1,481 reviews
booking,"The location is great, pretty close to the bars and restaurants area in South Beach, as well as the shops in Lincoln road. We had some issues when booking and staying in this hotel which made us decide not to come back here if we visit South Beach again:

1- During the booking, the hotel was hacked and sent us a very strange message asking for more money. After some stressful moments (we already paid for the stay) and with the help of Booking, we managed to clarify that there had been hacked (or that's what I would like to think).

2- We arrived a bit early, around 10:30 am. We then went out to visit some shops and waited for our room to be ready. When we came back at around 3:00 pm, the room was not ready yet. They made us wait 30 minutes in the reception until, after asking for the 4th time, suddenly they had the card and the room ready for check-in.

3- When we finally got into the room, it was not clean at all. There were some toilet paper and earsticks thrown around the bathroom, as well as some food rests on the sofa. This made me, for the first time in ages, come back to the reception to complain about the situation.

Furthermore, the people at the reception were a bit rude. They were not friendly and we had to deal with asking two or three times certain stuff.",4.0,Jose,2023-12-11,1.0,Couple,7.1,481 reviews
booking,Everything was fabulous.,10.0,Freddie,2023-11-30,2.0,Couple,7.1,481 reviews
booking,"Staffs were so impolite and confuse, reception kept me hours in lobby Because of wrong reason she thought I’m my guest  and didn’t check my ID correctly at the end  she didn’t apologize,it was my worst experience",1.0,Anita,2023-11-28,1.0,Couple,7.1,481 reviews
booking,Clean Some of the night shift staffs are not friendly,5.0,Dante,2023-11-28,2.0,Couple,7.1,481 reviews
booking,Perfect room!,10.0,David,2024-06-22,1.0,Solo,7.1,481 reviews
booking,Great location near the beach and restaurants,9.0,Richard,2024-06-22,9.0,Couple,7.1,481 reviews
booking,"I Love this property so much. Every time i come to Miami, i stay here. It is clean, modern, the staff is excellent and the rooms are perfect. Not much to complain about if anything...",10.0,Abby,2024-06-16,3.0,Family,7.1,481 reviews
booking,"Room  , location, restauran, pool everything is perfect.",10.0,Małgorzata,2024-06-13,1.0,Family,7.1,481 reviews
booking,I didn’t like anything about this place. I didn’t like the property because it was very far from all the restaurants.,1.0,Desiree,2023-11-06,3.0,Family,7.1,481 reviews
booking,Very big spacious and comfy I booked for ocean view room. Nothing about my room was ocean view I saw the street ….,4.0,Dunjonnay,2023-11-06,1.0,Couple,7.1,481 reviews
booking,Could improve The floor,5.0,Dabner,2023-10-31,1.0,Couple,7.1,481 reviews
booking,The location was exceptional. Parking,9.0,Kiara,2023-10-29,3.0,Group,7.1,481 reviews
booking,"The receptionists were exactly, very professional and 
Very friendly.",10.0,Leticia,2023-10-24,1.0,Family,7.1,481 reviews
booking,The team of the hotel is so kind especially  Emma Roberts. The location is very nice and so is the beach. the hotel is clean and nice.,10.0,Mor,2023-10-16,2.0,Family,7.1,481 reviews
booking,"Location and size of room was great. The service at this hotel is not befitting a 4star. Cleaner did not attend for several days. Reception promised us a room change that did not materialise. Bell boy, didn’t bring bag to room and to top it off. The taxi ordered for the airport was not legitimate, obviously just the bell boys friend who simply over charged us!",3.0,Juliette,2023-10-14,7.0,Family,7.1,481 reviews
booking,The Staff was Great,9.0,Courtney,2023-10-10,2.0,Couple,7.1,481 reviews
booking,Brilliant room amazing and location,10.0,Nicola,2023-09-20,1.0,Couple,7.1,481 reviews
booking,"From the moment I arrived at the property the service was exceptional! Both Opal and Pierre, the concierge team were hospitable, knowledgeable and always willing to help! The room was beautifully decorated and provided more than enough space for my friend and I! It was like our own little(but fairly large) apartment! The amenities were amazing as well! Golf cart rides to the beach, drop off and pick up if needed. The complimentary beach chairs came in hand and the pool and bar were extremely convenient as well! N/A",10.0,Tyra,2023-09-07,3.0,Group,7.1,481 reviews
booking,Refrigerator was broken. Couch was broken. Toilet was clogged and wouldn’t flush. I paid over 4k for the week and this was supposedly a 4 star stay. I don’t recommend.,1.0,Nezir,2023-09-05,6.0,Family,7.1,481 reviews
booking,In the kitchen no possibility to cook,10.0,Marta,2023-09-05,2.0,Family,7.1,481 reviews
